,int,int,int,int,int,int,int,
항목,Animal_ID,String_ID,Animal_Grade,Animal_AttackPower,Animal_HP,Animal_MoveSpeed,Animal_Jump,Prefab
개,100101,DOG,1,1,1,10,2,100101
고양이,100102,CAT,1,1,1,10,2,100102
너구리,100103,RACCOON,1,1,1,10,2,100103
다람쥐,100104,CHIPMUNK,1,1,1,10,2,100104
원숭이,100105,MONKEY,1,1,1,10,2,100105
비버,100106,BEAVER,1,1,1,10,2,100106
햄스터,100107,HAMSTER,1,1,1,10,2,100107
족제비,100108,WEASEL,1,1,1,10,2,100108
레서판다,100109,REDPANDA,1,1,1,10,2,100109
토끼,100110,RABBIT,1,1,1,10,2,100110
순록,100201,REINDEER,2,3,1,10,2,100201
돼지,100202,PIG,2,3,1,10,2,100202
여우,100203,FOX,2,3,1,10,2,100203
말,100204,HORSE,2,3,1,10,2,100204
알파카,100205,ALPACA,2,3,1,10,2,100205
사슴,100206,DEER,2,3,1,10,2,100206
고릴라,100301,GORILLA,3,5,1,10,2,100301
코끼리,100302,ELEPHANT,3,5,1,10,2,100302
코뿔소,100303,RHINO,3,5,1,10,2,100303
물소,100304,BUFFALO,3,5,1,10,2,100304
